EAN;DESCRIPCION;CLASIFICACION;CATEGORIA;PLATAFORMA;Publisher
884095178345;PS4 DUO PACK NO MAN SKY & HEAVY RAIN;PS4;Software;PS4;SCEA
711719510499;PS4 Uncharted Lost Legacy - LATAM;PS4;Software;PS4;SCEA
711719510086;PS4 HW 500GB (CUH-2015A) HZD, R&C, TLOU Bundle - LATAM - MX, COL, PU, PY, CAM;PS4;Hardware;PS4;SCEA
722674121415;DARK SOULS III THE FIRE FADES EDITION - LATAM PS4;PS4;Software;PS4;BANDAI NAMCO
722674220927;DARK SOULS III THE FIRE FADES EDITION - LATAM XBONE;XBONE;Software;XBONE;BANDAI NAMCO
887256301347;Far Cry 4 Complete Edition Trilingual PS4;PS4;Software;PS4;UBISOFT
887256300197;Trials Fusion PS4 Trilingual;PS4;Software;PS4;UBISOFT
8888358053;Watch Dogs Trilingual PS4;PS4;Software;PS4;UBISOFT
8888349075;Far Cry Compilation Trilingual EFS PS3;PS3;Software;PS3;UBISOFT
8888349044;South Park Trilingual Greatest Hits PS3;PS3;Software;PS3;UBISOFT
093155171961;THE ELDER SCROLLS ONLINE MORROWIND - LATAM PS4;PS4;Software;PS4;BETHESDA
093155171954;THE ELDER SCROLLS ONLINE MORROWIND - LATAM XBONE;XBONE;Software;XBONE;BETHESDA
884095177584;ARK: SURVIVAL EVOLVED - LATAM PS4;PS4;Software;PS4;STUDIO WILDCARD
884095177591;ARK: SURVIVAL EVOLVED - LATAM XBONE;XBONE;Software;XBONE;STUDIO WILDCARD
047875880825;CRASH BANDICOOT N'SANE TRILOGY - LATAM PS4;PS4;Software;PS4;ACTIVISION
093155171558;PREY - LATAM PS4;PS4;Software;PS4;BETHESDA
093155171541;PREY - LATAM XBONE;XBONE;Software;XBONE;BETHESDA
711719100294;GOLD WIRELESS STEREO HEADSET (US) PS4;PS4;Peripherals;PS4;SCEA
711719504153;PS4 500GB HW SLIM COD INFINITE WARFARE LEGACY ED - US;PS4;Hardware;PS4;SCEA
711719501879;PS4 500GB HW CALL OF DUTY BLACK OPS III US;PS4;Hardware;PS4;SCEA
711719504030;PS4 1TB HW PRO;PS4;Hardware;PS4;SCEA
711719504023;PS4 HW 1TB (CUH-7015B) - PS4 PRO - US;PS4;Hardware;PS4;SCEA
722674120852;ACE COMBAT 7 - LATAM PS4;PS4;Software;PS4;BANDAI NAMCO
722674220545;ACE COMBAT 7 - LATAM XBONE;XBONE;Software;XBONE;BANDAI NAMCO
722674121323;LITTLE NIGHTMARES SIX EDITION - LATAM PS4;PS4;Software;PS4;BANDAI NAMCO
722674220859;LITTLE NIGHTMARES SIX EDITION - LATAM XBONE;XBONE;Software;XBONE;BANDAI NAMCO
722674121378;TEKKEN 7 DAY ONE - LATAM PS4;PS4;Software;PS4;BANDAI NAMCO
722674220880;TEKKEN 7 DAY ONE - LATAM XBONE;XBONE;Software;XBONE;BANDAI NAMCO
722674121040;TEKKEN 7 - LATAM PS4;XBONE;Software;XBONE;BANDAI NAMCO
887256023331;GHOST RECON WILDLANDS LIMITED EDITION - LATAM PS4;PS4;Software;PS4;UBISOFT
887256023348;GHOST RECON WILDLANDS LIMITED EDITION - LATAM XBONE;XBONE;Software;XBONE;UBISOFT
722674121309;WRC 6 - LATAM PS4;PS4;Software;PS4;BANDAI NAMCO
722674220828;WRC 6 - LATAM XBONE;XBONE;Software;XBONE;BANDAI NAMCO
884095177416;Consola PS4 500G + 5 juegos + 1 control - TIER2;PS4;Hardware;PS4;SCEA
884095177423;Consola PS4 500G + 7 juegos + 1 control - FONDOS;PS4;Hardware;PS4;SCEA
884095176990;Bundle PS4 500GB FIFA 17 + DS4 Wave Blue;PS4;Hardware;PS4;SCEA
47875873599;CALL OF DUTY ADVANCED WARFARE PS4;PS4;Software;PS4;ACTIVISION
47875880061;CALL OF DUTY BLACK OPS COLLECTION - LATAM PS3;PS3;Software;PS3;ACTIVISION
47875880078;CALL OF DUTY BLACK OPS COLLECTION - LATAM XB360;XB360;Software;XB360;ACTIVISION
711719507178;PS4 HW 500GB (CUH-2015A) Call of Duty:  Infinite Warfare - Jet Black - MX, COL, PU, PY, Cent.Am;PS4;Hardware;PS4;SCEA
711719508939;PS4 Nioh - LATAM;PS4;Software;PS4;SCEA
47875878792;SKYLANDERS IMAGINATORS PS3 STARTER PACK SP;PS3;Software;PS3;ACTIVISION
47875878846;SKYLANDERS IMAGINATORS PS4 STARTER PACK SP;PS4;Software;PS4;ACTIVISION
47875878921;SKYLANDERS IMAGINATORS XONE STARTER PACK SP;XBONE;Software;XBONE;ACTIVISION
47875878969;SKYLANDERS IMAGINATORS WiiU STARTER PACK SP;WIIU;Software;WIIU;ACTIVISION
47875878785;SKYLANDERS IMAGINATORS PS3 CRASH STARTER PACK E/F;PS3;Software;PS3;ACTIVISION
47875878839;SKYLANDERS IMAGINATORS PS4 CRASH STARTER PACK E/F;PS4;Software;PS4;ACTIVISION
47875879225;SKYLANDERS IMAGINATORS OBSERVATORY ADVENTURE PACK ;OTHER;Software;OTHER;ACTIVISION
