EAN,DESCRIPCION,CLASIFICACION,CATEGORIA,PLATAFORMA,PUBLISHER
884095179069,2-Pack Assassins Creed Black Flag + Just Dance 2016,CATALOGO,Juego,PS4,Ubisoft
884095179076,2-Pack Assassins Creed G H + Assassins Creed Rogue,CATALOGO,Juego,PS3,Ubisoft
884095179090,2-Pack Assassins Creed Rogue + South Park,CATALOGO,Juego,PS3,Ubisoft
884095179045,2-Pack Assassins Creed Unity + Far Cry 4,CATALOGO,Juego,PS4,Ubisoft
884095179052,2-Pack Far Cry 4 + Just Dance 2016,CATALOGO,Juego,PS4,Ubisoft
884095179083,2-Pack Far Cry Compilation + South Park,CATALOGO,Juego,PS3,Ubisoft
884095177430,5-Pack Action - Action,CATALOGO,Juego,PS3,Sony Computer Entertainment
884095177454,5-Pack Action - Adventure,CATALOGO,Juego,PS3,Sony Computer Entertainment
884095177447,5-Pack Action - Terror,CATALOGO,Juego,PS3,Sony Computer Entertainment
887256015084,Assassin's Creed Syndicate,CATALOGO,Juego,PS4,Ubisoft
711719039297,Assassin's Creed: Revelations,CATALOGO,Juego,PS3,Sony Computer Entertaiment
887256301262,Assassin's Creed: Unity,CATALOGO,Juego,PS4,Ubisoft
883929412044,Batman Arkham Knight,CATALOGO,Juego,PS4,Warner
711719992059,Best Of Psn Volume 1 Playstation 3,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719039242,Bioshock,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719039235,Borderlands,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719039075,Call Of Duty 4: Modern Warfare,CATALOGO,Juego,PS3,Sony Computer Entertaiment
47875873599,Call Of Duty Advanced Warfare,CATALOGO,Juego,PS4,Activision
47875874251,Call Of Duty Advanced Warfare Gold Edition,CATALOGO,Juego,PS3,Activision
47875874367,Call Of Duty Black Ops 1 & 2_First Strike Map,CATALOGO,Juego,PS3,Activision
47875880061,Call Of Duty Black Ops Collection,CATALOGO,Juego,PS3,Activision
47875874565,Call Of Duty Black Ops III,CATALOGO,Juego,PS3,Activision
47875874602,Call Of Duty Black Ops III,CATALOGO,Juego,PS4,Activision
47875874640,Call Of Duty Black Ops III,CATALOGO,Juego,X360,Activision
47875874688,Call Of Duty Black Ops III,CATALOGO,Juego,XONE,Activision
47875874541,Call Of Duty Black Ops III,CATALOGO,Juego,PS3,Activision
47875876491,Call Of Duty Black Ops III Collector's Edition,CATALOGO,Juego,PS4,Activision
47875878006,Call Of Duty Black Ops III Gold Edition,CATALOGO,Juego,PS4,Activision
47875878013,Call Of Duty Black Ops III Gold Edition,CATALOGO,Juego,XONE,Activision
47875878006,Call Of Duty Black Ops III Special Edition,CATALOGO,Juego,PS4,Activision
47875878013,Call Of Duty Black Ops III Special Edition,CATALOGO,Juego,XONE,Activision
47875878532,Call Of Duty Infinite Warfare,CATALOGO,Juego,PS4,Activision
47875878600,Call Of Duty Infinite Warfare,CATALOGO,Juego,XONE,Activision
47875880368,Call Of Duty Infinite Warfare Legacy Collectors Edition,CATALOGO,Juego,PS4,Activision
47875880788,Call Of Duty Modern Warfare Remastered,CATALOGO,Juego,PS4,Activision
47875878075,Call Of Duty: Modern Warfare 3,CATALOGO,Juego,PS3,Activision
47875880825,Crash Bandicoot N. Sane Trilogy,CATALOGO,Juego,PS4,Activision
722674120562,Dark Souls 3,CATALOGO,Juego,PS4,Bandai Namco
722674120838,Dark Souls 3,CATALOGO,Juego,PS4,Bandai Namco
722674110921,Dark Souls II,CATALOGO,Juego,PS3,Bandai Namco
14633197228,Dead Space 3,CATALOGO,Juego,PS3,Electronic Arts
47875771109,Deadpool,CATALOGO,Juego,PS4,Activision
47875879706,Destiny: Collection,CATALOGO,Juego,PS4,Activision
47875874404,Destiny: The Taken King Legendary Edition,CATALOGO,Juego,PS3,Activision
47875874442,Destiny: The Taken King Legendary Edition,CATALOGO,Juego,PS4,Activision
47875874480,Destiny: The Taken King Legendary Edition,CATALOGO,Juego,X360,Activision
47875874527,Destiny: The Taken King Legendary Edition,CATALOGO,Juego,XONE,Activision
711719039136,Devil May Cry HD Collection,CATALOGO,Juego,PS3,Sony Computer Entertaiment
