CODIGO,DEALER,TIENDAS,ZONA,TIPO TIENDA,CORREO INSTRUCTOR,NOMBRE INSTRUCTOR,CORREO SUPERVISOR,NOMBRE SUPERVISOR,CORREO PROMOTOR 1,CORREO PROMOTOR 1
0,CARSA,CARSA AGUAS VERDES,Sin Zona,C,,,,,,
0,CARSA,CARSA ATE,Sin Zona,C,,,,,,
0,CARSA,CARSA AYACUCHO,Sin Zona,B,,,,,,
0,CARSA,CARSA BARRANCA,Sin Zona,C,,,,,,
0,CARSA,CARSA CAJAMARCA,Sin Zona,C,,,,,,
0,CARSA,CARSA CAÑETE,Sin Zona,C,,,,,,
0,CARSA,CARSA CENTRO,Sin Zona,C,,,,,,
0,CARSA,CARSA CERRO DE PASCO,Sin Zona,C,,,,,,
0,CARSA,CARSA CHEPEN,Sin Zona,C,,,,,,
0,CARSA,CARSA CHICLAYO,Zona 6,B,,,,,,
0,CARSA,CARSA CHIMBOTE,Sin Zona,B,,,,,,
0,CARSA,CARSA CHINCHA,Sin Zona,C,,,,,,
0,CARSA,CARSA CHOSICA,Sin Zona,C,,,,,,
0,CARSA,CARSA COMAS,Sin Zona,C,,,,,,
0,CARSA,CARSA CUZCO,Sin Zona,B,,,,,,
0,CARSA,CARSA EDELNOR,Sin Zona,C,,,,,,
0,CARSA,CARSA EDELNOR COMAS,Sin Zona,C,,,,,,
0,CARSA,CARSA EDELNOR MEGA PLAZA,Sin Zona,C,,,,,,
0,CARSA,CARSA EDELNOR MINKA,Sin Zona,C,,,,,,
0,CARSA,CARSA EDELNOR PUENTE PIEDRA,Sin Zona,C,,,,,,
0,CARSA,CARSA EDELNOR SAN JUAN DE LURIGANCHO,Sin Zona,B,,,,,,
0,CARSA,CARSA EDELNOR SAN MIGUEL,Sin Zona,C,,,,,,
0,CARSA,CARSA EL PORVENIR,Sin Zona,C,,,,,,
0,CARSA,CARSA EXPRESS CAMANA,Sin Zona,C,,,,,,
0,CARSA,CARSA HUACHO,Sin Zona,C,,,,,,
0,CARSA,CARSA HUANCAYO II,Sin Zona,C,,,,,,
0,CARSA,CARSA HUÁNUCO,Sin Zona,C,,,,,,
0,CARSA,CARSA HUARAL,Sin Zona,C,,,,,,
0,CARSA,CARSA HUARAZ,Sin Zona,B,,,,,,
0,CARSA,CARSA HUAYCAN,Sin Zona,C,,,,,,
0,CARSA,CARSA ICA,Sin Zona,C,,,,,,
0,CARSA,CARSA ILO,Sin Zona,B,,,,,,
0,CARSA,CARSA IQUITOS,Sin Zona,B,,,,,,
0,CARSA,CARSA IQUITOS 2,Sin Zona,C,,,,,,
0,CARSA,CARSA JAEN,Sin Zona,C,,,,,,
0,CARSA,CARSA JUANJUI,Sin Zona,C,,,,,,
0,CARSA,CARSA JULIACA,Sin Zona,C,,,,,,
0,CARSA,CARSA LA MERCED,Sin Zona,C,,,,,,
0,CARSA,CARSA LURIN,Sin Zona,C,,,,,,
0,CARSA,CARSA MEGA SAN JUAN,Zona 5,B,,,,,,
0,CARSA,CARSA MERCADERES,Zona 5,C,,,,,,
0,CARSA,CARSA MOLLENDO,Sin Zona,C,,,,,,
0,CARSA,CARSA NAZCA,Sin Zona,C,,,,,,
0,CARSA,CARSA PISCO,Sin Zona,C,,,,,,
0,CARSA,CARSA PIURA,Zona 6,C,,,,,,
0,CARSA,CARSA PROCERES 2,Sin Zona,C,,,,,,
0,CARSA,CARSA PUNO,Sin Zona,C,,,,,,
0,CARSA,CARSA SAN JUAN DE DIOS,Sin Zona,C,,,,,,
0,CARSA,CARSA SAN JUAN DE LURIGANCHO,Sin Zona,C,,,,,,
0,CARSA,CARSA SAN JUAN DE MIRAFLORES,Sin Zona,C,,,,,,
0,CARSA,CARSA SAN MARTÍN DE PORRES,Sin Zona,C,,,,,,
0,CARSA,CARSA SULLANA,Sin Zona,C,,,,,,
0,CARSA,CARSA TACNA,Sin Zona,C,,,,,,
0,CARSA,CARSA TALARA,Sin Zona,C,,,,,,
0,CARSA,CARSA TARAPOTO,Sin Zona,B,,,,,,
0,CARSA,CARSA TARMA,Sin Zona,C,,,,,,
0,CARSA,CARSA TINGO MARIA,Sin Zona,C,,,,,,
0,CARSA,CARSA TRUJILLO,Sin Zona,B,,,,,,
0,CARSA,CARSA TRUJILLO II,Sin Zona,C,,,,,,
0,CARSA,CARSA TUMBES,Sin Zona,B,,,,,,
0,CARSA,CARSA VENTANILLA,Zona 1,C,,,,,,
0,CARSA,CARSA VILLA EL SALVADOR,Sin Zona,C,,,,,,
0,CARSA,CARSA VILLA MARÍA DEL TRIUNFO,Sin Zona,C,,,,,,
0,CARSA,CARSA YURIMAGUAS,Sin Zona,C,,,,,,
S053,CENCOSUD,CENCOSUD METRO AMAZONAS,Sin Zona,C,,,,,,
S051,CENCOSUD,CENCOSUD METRO AMERICA,Sin Zona,C,,,,,,
---,CENCOSUD,CENCOSUD METRO ANGELICA GAMARRA,Sin Zona,C,,,,,,
S003,CENCOSUD,CENCOSUD METRO ARAMBURU,Zona 2,C,,,,,,
S033,CENCOSUD,CENCOSUD METRO ARENALES,Zona 2,C,,,,,,
S010,CENCOSUD,CENCOSUD METRO ATOCONGO,Zona 4,B,,,,,,
S037,CENCOSUD,CENCOSUD METRO BALTA,Zona 6,C,,,,,,
S044,CENCOSUD,CENCOSUD METRO BARRANCA,Sin Zona,A,,,,,,
S025,CENCOSUD,CENCOSUD METRO BELLAVISTA,Sin Zona,C,,,,,,
H002,CENCOSUD,CENCOSUD METRO BREÑA,Zona 7,B,,,,,,
SCA1,CENCOSUD,CENCOSUD METRO CAJAMARCA,Zona 6,C,,,,,,
H008,CENCOSUD,CENCOSUD METRO CANADA,Zona 2,B,,,,,,
S062,CENCOSUD,CENCOSUD METRO CERRO COLORADO,Zona 5,B,,,,,,
S047,CENCOSUD,CENCOSUD METRO CHACLACAYO,Zona 7,B,,,,,,
S055,CENCOSUD,CENCOSUD METRO CHIMBOTE,Sin Zona,C,,,,,,
S069,CENCOSUD,CENCOSUD METRO CHINCHA,Sin Zona,C,,,,,,
H001,CENCOSUD,CENCOSUD METRO CHORRILLOS,Zona 4,A,,,,,,
H010,CENCOSUD,CENCOSUD METRO COLONIAL,Sin Zona,B,,,,,,
S046,CENCOSUD,CENCOSUD METRO CUTERVO,Sin Zona,C,,,,,,
S081,CENCOSUD,CENCOSUD METRO EJERCITO,Zona 5,C,,,,,,
S011,CENCOSUD,CENCOSUD METRO EL RETABLO,Zona 1,B,,,,,,
H009,CENCOSUD,CENCOSUD METRO EMANCIPACION,Zona 7,A,,,,,,
S032,CENCOSUD,CENCOSUD METRO FAUCETT,Zona 3,B,,,,,,
SCH4,CENCOSUD,CENCOSUD METRO GRAU,Sin Zona,C,,,,,,
S038,CENCOSUD,CENCOSUD METRO HUAYLAS,Zona 4,B,,,,,,
H013,CENCOSUD,CENCOSUD METRO INDEPENDENCIA,Zona 1,B,,,,,,
H007,CENCOSUD,CENCOSUD METRO INGENIERA,Sin Zona,C,,,,,,
S002,CENCOSUD,CENCOSUD METRO JESUS MARIA,Zona 7,B,,,,,,
S001,CENCOSUD,CENCOSUD METRO LA MOLINA,Zona 2,B,,,,,,
H011,CENCOSUD,CENCOSUD METRO LA PASCANA,Zona 1,A,,,,,,
S093,CENCOSUD,CENCOSUD METRO LAMBRAMANI,Zona 5,B,,,,,,
H003,CENCOSUD,CENCOSUD METRO LIMATAMBO,Zona 4,B,,,,,,
S058,CENCOSUD,CENCOSUD METRO LOS MAESTROS,Sin Zona,C,,,,,,
---,CENCOSUD,CENCOSUD METRO MEXICO,Sin Zona,C,,,,,,
S095,CENCOSUD,CENCOSUD METRO MINKA,Zona 3,C,,,,,,
S029,CENCOSUD,CENCOSUD METRO MIOTTA,Zona 4,B,,,,,,
H016,CENCOSUD,CENCOSUD METRO OVALO PAPAL,Zona 6,B,,,,,,
S005,CENCOSUD,CENCOSUD METRO PERSHING,Zona 7,C,,,,,,
S049,CENCOSUD,CENCOSUD METRO PIURA PLAZA LUNA,Zona 6,B,,,,,,
H014,CENCOSUD,CENCOSUD METRO PLAZA NORTE,Zona 1,A,,,,,,
S028,CENCOSUD,CENCOSUD METRO PROCERES,Zona 7,A,,,,,,
S034,CENCOSUD,CENCOSUD METRO PURUCHUCO,Zona 7,A,,,,,,
---,CENCOSUD,CENCOSUD METRO RAMON CASTILLA,Sin Zona,C,,,,,,
---,CENCOSUD,CENCOSUD METRO SAN ISIDRO,Sin Zona,C,,,,,,
H005,CENCOSUD,CENCOSUD METRO SAN MIGUEL,Zona 3,B,,,,,,
S043,CENCOSUD,CENCOSUD METRO SANTA ELENA,Zona 6,C,,,,,,
H006,CENCOSUD,CENCOSUD METRO SJL,Zona 1,A,,,,,,
S004,CENCOSUD,CENCOSUD METRO SUCRE,Sin Zona,C,,,,,,
---,CENCOSUD,CENCOSUD METRO TRUJILLO PENTA,Sin Zona,C,,,,,,
S014,CENCOSUD,CENCOSUD METRO VENTANILLA,Zona 1,B,,,,,,
T115,CENCOSUD,CENCOSUD WONG ALDAVA,Zona 4,B,,,,,,
T116,CENCOSUD,CENCOSUD WONG ASIA,Sin Zona,C,,,,,,
TH12,CENCOSUD,CENCOSUD WONG ATE,Zona 2,B,,,,,,
