EAN;DESCRIPCION;CLASIFICACION;CATEGORIA;PLATAFORMA;PUBLISHER
711719501886;PLAYSTATION 4 HARDWARE 500GB CALL OF DUTY BLACK OPS III BUNDLE PS4;IMPRESCINDIBLES;Consola;PS4;Solutions 2 Go Miami
711719100393;DUALSHOCK 4 (CUH-ZCT1U) - BLACK - LATAM PS4;IMPRESCINDIBLES;Accesorio;PS4;SCEA
711719503057;PS4 500GB (CUH-1215AB01X) BNDL - FIFA 2016 - CHILE;IMPRESCINDIBLES;Consola;PS4;SCEA
711719503125;PS3 500GB (CECH-4311C) BNDL - TLOU- GOW ASC- GT6- LBP3 - CHILE;IMPRESINDIBLES;Consola;PS3;SCEA
711719503026;PS4 500GB (CUH-1215A) BNDL - GOW REMASTERED ROLA - CHILE;IMPRESCINDIBLES;Consola;PS4;SCEA
711719503347;PS4 500GB (CUH-1215ABZ7X) BNDL - STAR WARS BATTLEFRONT- CHILE;IMPRESCINDIBLES;Consola;PS4;SCEA
711719047315;PS4 UNCHARTED 4: A THIEF'S END- LATAM;IMPRESCINDIBLES;Juego;PS4;SCEA
711719503385;PS4 500GB (CUH-1215ABZ9X) BNDL - UNCHARTED 4-LIMITED EDITION- CHILE;IMPRESCINDIBLES;Consola;PS4;SCEA
711719502166;UNCHARTED 4: SPECIAL EDITION- LATAM PS4;LANZAMIENTO;Juego;PS4;SCEA
711719502197;UNCHARTED 4: LIBERTALIA  EDITION- LATAM PS4;LANZAMIENTO;Juego;PS4;SCEA
93155170582;DOOM - LATAM PC;LANZAMIENTO;Juego;PC;BETHESDA
93155170285;DOOM - LATAM PS4;LANZAMIENTO;Juego;PS4;BETHESDA
93155170278;DOOM - LATAM XBONE;LANZAMIENTO;Juego;XBONE;BETHESDA
93155170483;DOOM CE - LATAM PC;LANZAMIENTO;Juego;PC;BETHESDA
93155170513;DOOM CE - LATAM PS4;LANZAMIENTO;Juego;PS4;BETHESDA
93155170490;DOOM CE - LATAM XBONE;LANZAMIENTO;Juego;XBONE;BETHESDA
47875771413;TMNT MUTANTS IN MANHATTAN - XBONE ;LANZAMIENTO;Juego;XBONE;ACTIVISION
47875771352;TMNT MUTANTS IN MANHATTAN - PS3 ;LANZAMIENTO;Juego;PS3;ACTIVISION
47875771376;TMNT MUTANTS IN MANHATTAN - PS4 ;LANZAMIENTO;Juego;PS4;ACTIVISION
47875771390;TMNT MUTANTS IN MANHATTAN - XB360 ;LANZAMIENTO;Juego;XB360;ACTIVISION
47875877689;OVERWATCH COLLECTORS EDITION ORIGINS PC;LANZAMIENTO;Juego;PC;ACTIVISION
47875729858;OVERWATCH COLLECTORS EDITION ORIGINS PS4;LANZAMIENTO;Juego;PS4;ACTIVISION
47875877672;OVERWATCH COLLECTORS EDITION ORIGINS XBONE;LANZAMIENTO;Juego;XBONE;ACTIVISION
